EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
8-Jul-18,1,Strategic developments,Change to group/activity,Liaoning,Shenyang,Shenhe,41.796,123.459,3,0
8-Jul-18,1,Protests,Peaceful protest,Liaoning,Anshan,Tiedong,41.09,122.991,2,0
8-Jul-18,1,Protests,Peaceful protest,Hainan,Lingshui Li Autonomous County,Yelin,18.506,110.036,2,0
8-Jul-18,2,Protests,Peaceful protest,Liaoning,Huludao,Suizhong,40.326,120.344,1,0
9-Jul-18,1,Protests,Peaceful protest,Shandong,Qingdao,Shinan,36.076,120.412,2,0
9-Jul-18,1,Protests,Peaceful protest,Shandong,Linyi,Linshu,34.92,118.651,1,0
9-Jul-18,1,Protests,Protest with intervention,Guangdong,Guangzhou,Guangzhou,23.173,113.359,2,0
9-Jul-18,1,Protests,Peaceful protest,Hubei,Wuhan,Jianghan,30.601,114.271,1,0
9-Jul-18,1,Protests,Peaceful protest,Liaoning,Liaoyang,Baita,41.27,123.174,2,0
10-Jul-18,1,Protests,Peaceful protest,Jiangsu,Wuxi,Binhu,31.528,120.283,1,0
10-Jul-18,1,Protests,Peaceful protest,Jiangsu,Yangzhou,Guangling,32.392,119.435,2,0
10-Jul-18,1,Protests,Peaceful protest,Guangdong,Guangzhou,Guangzhou,23.173,113.359,2,0
10-Jul-18,1,Protests,Peaceful protest,Guizhou,Zunyi,Huichuan,27.75,106.934,2,0
10-Jul-18,1,Protests,Peaceful protest,Beijing,Xicheng,Beijing-Xicheng,39.912,116.359,1,0
10-Jul-18,1,Strategic developments,Change to group/activity,Beijing,Beijing,Beijing,39.906,116.391,1,0
10-Jul-18,1,Strategic developments,Change to group/activity,Sichuan,Garze Tibetan Autonomous,Shiqu,32.979,98.103,1,0
10-Jul-18,1,Riots,Mob violence,Guangxi,Beihai,Haicheng,21.475,109.117,1,0
10-Jul-18,1,Protests,Peaceful protest,Shanghai,Songjiang,Shanghai-Songjiang,31.028,121.216,1,0
11-Jul-18,1,Protests,Peaceful protest,Guizhou,Qianxinan Buyi and Miao Autonomous,Ceheng,24.984,105.812,1,0
11-Jul-18,1,Protests,Peaceful protest,Shaanxi,Xi'an,Weiyang,34.293,108.946,1,0
11-Jul-18,1,Protests,Protest with intervention,Henan,Luoyang,Luolong,34.619,112.464,1,0
11-Jul-18,1,Protests,Peaceful protest,Shandong,Linyi,Lanshan,35.052,118.348,2,0
11-Jul-18,1,Riots,Mob violence,Guangxi,Beihai,Haicheng,21.475,109.117,1,0
12-Jul-18,1,Protests,Protest with intervention,Hunan,Loudi,Xinhua,27.727,111.327,1,0
12-Jul-18,1,Protests,Peaceful protest,Beijing,Daxing,Daxing,39.727,116.342,1,0
12-Jul-18,1,Protests,Peaceful protest,Fujian,Fuzhou,Taijiang,26.053,119.314,1,0
12-Jul-18,1,Protests,Peaceful protest,Henan,Xinyang,Pingqiao,32.101,114.126,2,0
12-Jul-18,1,Protests,Peaceful protest,Hunan,Yongzhou,Lengshuitan,26.461,111.592,2,0
12-Jul-18,1,Protests,Peaceful protest,Liaoning,Dalian,Shahekou,38.905,121.58,1,0
12-Jul-18,1,Strategic developments,Looting/property destruction,Qinghai,Hainan Tibetan Autonomous,Qabqa,36.275,100.625,1,0
12-Jul-18,1,Protests,Peaceful protest,Jilin,Changchun,Nanguan,43.864,125.35,1,0
13-Jul-18,1,Strategic developments,Looting/property destruction,Jilin,Songyuan,Ningjiang,45.172,124.817,1,0
13-Jul-18,1,Protests,Peaceful protest,Guangdong,Shenzhen,Shenzhen,22.595,114.067,2,0
13-Jul-18,1,Protests,Peaceful protest,Sichuan,Nanchong,Gaoping,30.782,106.119,1,0
13-Jul-18,1,Violence against civilians,Abduction/forced disappearance,Yunnan,Deqen Tibetan Autonomous,Shangri La City,27.829,99.7,1,0
13-Jul-18,1,Violence against civilians,Attack,Henan,Zhumadian,Caigou,32.669,113.361,1,0
13-Jul-18,1,Strategic developments,Arrests,Jilin,Songyuan,Ningjiang,45.172,124.817,1,0
